date,XLK,XLV,XLF,XLY,XLP,XLI,XLU,XLE,XLB,SPY,BIL
2000-01-03,20.5671153421799,20.4860648558172,11.1249784616466,11.14566155897,12.2428407291296,17.9742330984706,5.50520048818541,6.69210786089571,7.17368242656656,91.5452760224469,
2000-01-04,19.5246623459403,20.0195505076154,10.6387468855257,10.8126238629848,11.8984267481782,17.4818737313489,5.34074641167131,6.56612691471921,7.10462502931428,87.9652931612339,
2000-01-05,19.5357917373592,19.9654618875341,10.6436092012869,10.7793200933863,12.0760152071063,17.4320145549315,5.4550620502238,6.66187243381335,7.33665788408194,88.1226550452432,
2000-01-06,18.5972130610296,19.9046121899425,11.0180075149,10.801522606452,12.3343256928198,17.6376836576532,5.46508973781612,6.99950136956637,7.58802681008023,86.706398089159,
2000-01-07,18.9199654121785,20.1480109803087,11.1979131980648,11.3084799881183,13.120020086865,18.310782539288,5.51121710074081,7.07508993727227,7.58250221830004,91.7419783774586,
2000-01-10,19.6396660572692,22.2033785434006,11.0034205676164,11.2529737054541,12.8240393219849,18.310782539288,5.53127247592545,7.01461908310755,7.55764155528922,92.0567021454773,
2000-01-11,19.0831964863228,21.6151648000157,10.8186525686904,11.1530623966586,12.8240393219849,18.0739514513054,5.47110635037151,7.02469755880167,7.4112398731144,90.9551689574118,
2000-01-12,19.0015809492507,21.2568276919767,11.0325944621837,11.1234590459043,12.8886169434133,17.8620499515315,5.41495129985451,6.99194251279578,7.35875625120267,90.0503381243579,
2000-01-13,19.1759414148139,21.8923689779327,11.3680942497071,11.1826657474128,12.9585760332941,18.1985993923489,5.36481286189289,7.11288422112522,7.38914150599367,91.2698927254305,
2000-01-14,19.6174072744314,21.6962977301378,11.6306593008124,11.1530623966586,13.001627780913,18.0739514513054,5.40893468729911,7.07005069942521,7.33665788408194,92.5090886074176,
2000-01-18,19.7212815943414,21.2973941570377,11.2465363556769,11.0901552763058,12.780987574366,18.0552542601489,5.386873774596,7.15823736174876,7.15987094711611,91.7813188484609,
2000-01-19,19.7546697685982,21.8044749703005,11.2076378295872,11.0679527632401,12.8724725380562,17.9991626866793,5.39088484963293,7.13304117251346,7.02175615261155,92.5287877975054,
2000-01-20,19.8696734799271,21.6354480325462,11.0034205676164,10.9162355906247,12.6948840791282,17.880747142688,5.41495129985451,7.13304117251346,6.83668232797545,91.1125308414211,
2000-01-21,19.8956420599046,21.5948815674852,10.8624134105413,10.6905100411236,12.5549658993667,17.6563808488097,5.59143860147939,7.3295714485488,6.86706758276645,90.9158284864094,
2000-01-24,19.2464275604671,20.9458181265088,10.667920780093,10.2908648059414,12.1944075130583,17.1515566875836,5.51522817577774,7.07005069942521,6.68475605402044,88.3389986811695,
2000-01-25,19.6545052458278,21.0945618317326,10.7797540426008,10.3537719262942,12.0437263963921,17.0518383347488,5.386873774596,7.05493298588403,6.56045273896634,89.3422096463158,
2000-01-26,19.0127103406696,20.9999067465902,11.1833262507811,10.4314807220241,12.1513557654394,17.1889510698967,5.36080178685596,6.94406975324871,6.56045273896634,88.6340811682737,
2000-01-27,18.8272204836874,20.8782073514071,11.3048841448114,10.4018773712698,12.3773774404387,17.2824370256793,5.32670764904206,6.80297109353103,6.59636258553752,88.2800169292526,
2000-01-28,18.1557472014121,20.4522594682663,10.9110365681534,9.99113087955479,12.2751295398438,16.8274720408706,5.29863012378356,6.7248629069016,6.48310845404379,85.5261839590887,
2000-01-31,18.7567343380342,20.357604383124,11.2125001453484,10.0651392564404,12.5011512148431,16.9458875848619,5.54330570103624,6.88107928016046,6.44443631158251,87.8472717482268,
2000-02-01,19.153682631976,20.6212864060206,11.2757102502441,10.4314807220241,12.3773774404387,16.8274720408706,5.50319495066695,6.86596156661928,6.56045273896634,88.7127621102783,
2000-02-02,19.2909451261428,21.1283672192834,11.1590146719751,10.3611727639827,12.4042847827005,16.8399368349749,5.47511742540844,6.90879508831929,6.59083799375734,88.791443052283,
2000-02-03,19.8474146970892,21.3176773895682,11.0909422513182,10.4018773712698,12.2320777922248,16.8274720408706,5.46508973781612,6.8256476638428,6.47758386226361,90.1290190663626,
2000-02-04,20.0774221197471,21.3920492421801,10.9791089888104,10.3611727639827,12.2912739452008,16.8960284084445,5.43701221255762,6.62911738780746,6.46929697459333,89.7552556372537,
2000-02-07,20.3111393395446,21.0472342891614,10.8624134105413,10.1650505652359,12.2105519184154,16.6031057469923,5.4209679124099,6.70470595551336,6.34499365953923,89.6175929433322,
2000-02-08,20.4966291965267,21.2771109245072,10.9839713045716,10.3944765335813,12.3612330350816,16.6716621145662,5.43300113752069,6.64675472027217,6.32841988419869,90.8371475444047,
2000-02-09,20.2406531938914,20.8984905839376,10.7262685692275,10.2242572667444,12.2536036660343,16.4971549971053,5.43300113752069,6.42502825500153,6.2013542732545,88.9291057462046,
2000-02-10,20.7229268220449,20.715941491163,10.4296673077937,10.1317467956374,11.8392305952022,16.2166971297575,5.35478517430057,6.55856805794862,6.15163294723286,89.1061668203018,
2000-02-11,20.1738768453778,20.7294636461833,10.4539788865998,9.98373004186623,11.6132089202029,15.8739152918879,5.26052491093273,6.48045987131919,5.99970667327785,87.2965051541941,
2000-02-14,20.1850062367967,20.3440822281036,10.5463628860627,10.0392363245304,11.6724050731789,16.129443571027,5.26854706100659,6.58376424718392,6.09914932532113,87.8079312772245,
2000-02-15,20.2406531938914,20.1885774453697,10.5609498333464,10.0614388375961,11.9307155588924,16.4099014383749,5.25450829837733,6.85840270984869,6.36156743487978,88.80125865716,
